Date,burger_sales,Instagram_Cost,Bing_Cost,Facebook_Cost,Google_Cost,Pinterest_Cost,Tiktok Cost
2020-12-01,2900,601.5,1724.8999999999999,927.8,8613.877620000001,0.0,0.0
2020-12-02,2870,602.9,1692.5,868.8,10405.92946,0.0,0.0
2020-12-03,2290,597.6,1733.1999999999998,690.2,9130.82094,0.0,0.0
2020-12-04,2260,599.3,1752.0,743.1,10584.10548,0.0,0.0
2020-12-05,1940,525.0,1650.8,634.4,6410.815240000001,0.0,0.0
2020-12-06,1600,602.0,1494.9,681.9,6507.4484600000005,0.0,0.0
2020-12-07,2200,640.6,1730.2,728.5,11919.94936,0.0,0.0
2020-12-08,2320,606.8,1735.0,691.2,12382.29448,0.0,0.0
2020-12-09,3250,604.6,1737.0,712.0,13127.03168,0.0,0.0
2020-12-10,2580,520.9,1723.4,1050.5,13858.35443,0.0,0.0
2020-12-11,2340,611.7,1484.3000000000002,882.2,9249.41829,0.0,0.0
2020-12-12,2220,600.1,1500.8,920.8,8221.35764,0.0,0.0
2020-12-13,1670,604.8,1354.0,671.0,7643.843070000001,0.0,0.0
2020-12-14,2350,608.9,1476.0,836.1,12429.68336,0.0,0.0
2020-12-15,2470,607.9,1696.5,941.5,14049.800930000001,0.0,0.0
2020-12-16,2340,606.4,1674.7,770.0,13106.29985,0.0,0.0
2020-12-17,2780,605.8,3047.0,963.9,13621.47921,0.0,0.0
2020-12-18,2560,605.3,2786.8,970.2,14039.7702,0.0,0.0
2020-12-19,1900,608.0,2101.6,617.8,8198.718939999999,0.0,0.0
2020-12-20,2100,607.9,1997.2,579.6,7351.988600000001,0.0,0.0
2020-12-21,2540,583.2,3712.9,736.3,7890.957170000001,0.0,0.0
2020-12-22,2730,625.6,8157.9,636.5,3787.4231299999997,0.0,0.0
2020-12-23,2590,607.4,7624.400000000001,573.0,3972.08244,0.0,0.0
2020-12-24,2000,545.7,6134.9,603.0,3199.84904,0.0,0.0
2020-12-25,1760,713.0,4056.9,565.6,3684.81512,0.0,0.0
2020-12-26,1920,653.4,6399.400000000001,628.4,3072.01176,0.0,0.0
2020-12-27,1850,646.6,10438.4,610.8,3495.18079,0.0,0.0
2020-12-28,2220,760.4,6800.900000000001,624.2,3786.1519599999997,0.0,0.0
2020-12-29,2610,765.8,4343.8,599.4,4358.40612,0.0,0.0
2020-12-30,2230,759.0,3619.7000000000003,0.0,2277.7987000000003,0.0,0.0
2020-12-31,2120,793.6,5492.900000000001,500.2,1729.24565,0.0,0.0
2021-01-01,2010,681.9,2550.7,500.5,9720.33091,0.0,0.0
2021-01-02,2230,605.0,2631.6,820.3,10216.759810000001,0.0,0.0
2021-01-03,2220,604.8,2581.9,663.0,9885.77826,0.0,0.0
2021-01-04,2870,605.0,2562.2,879.7,10056.754050000001,0.0,0.0
2021-01-05,2990,601.8,2585.5,858.2,10301.25093,0.0,0.0
2021-01-06,2750,604.4,2678.3,783.8,12459.16457,0.0,0.0
2021-01-07,6020,632.9,2900.3,1163.8,34439.543490000004,0.0,0.0
2021-01-08,7790,740.8,4114.700000000001,858.7,50903.342840000005,0.0,0.0
2021-01-09,5460,740.6,3446.6000000000004,884.6,50088.137480000005,0.0,0.0
2021-01-10,5180,738.1,3870.7,897.5,46129.49268,0.0,0.0
2021-01-11,6490,1022.1,10999.6,907.1,53740.93674,0.0,0.0
2021-01-12,6710,1071.6,11542.2,930.4,51532.025649999996,0.0,0.0
2021-01-13,5940,1065.7,8443.9,964.4,51121.08217,0.0,0.0
2021-01-14,6780,1012.3,10328.6,944.8,50872.91728,0.0,0.0
2021-01-15,6730,970.4,11095.9,998.9,50273.99184,0.0,0.0
2021-01-16,6360,1034.9,11550.599999999999,1080.7,46688.627720000004,0.0,0.0
2021-01-17,5470,941.1,9738.9,810.4,44803.70043999999,0.0,0.0
2021-01-18,6920,1013.8000000000001,10382.1,1010.0,56861.75671,0.0,0.0
2021-01-19,9240,1045.8,11001.5,1003.4000000000001,73911.13219,0.0,0.0
2021-01-20,9190,1083.5,11389.9,936.0,65776.46734,0.0,0.0
2021-01-21,9100,1090.3,10954.400000000001,865.2,50345.60279999999,0.0,0.0
2021-01-22,8310,1026.1,4689.8,825.6,36285.34388,0.0,0.0
2021-01-23,6050,842.0,4781.0,862.4000000000001,31611.8417,0.0,0.0
2021-01-24,5520,819.3,3883.1,786.6,28508.51779,0.0,0.0
2021-01-25,7850,1102.9,4668.6,1074.5,46545.23235,0.0,0.0
2021-01-26,9020,977.8,3898.8999999999996,1348.7,39122.41197,0.0,0.0
2021-01-27,9160,988.8,4012.6,941.8,48125.43957,0.0,0.0
